disease_id,disease_name,description,mapped_departments
1,Acute Coronary Syndrome,"Chest pain, pressure, shortness of breath, sweating, nausea","Cardiology|Emergency"
2,Asthma Exacerbation,"Wheezing, chest tightness, shortness of breath, cough worse at night","Pulmonology|Emergency"
3,Pneumonia,"Fever, productive cough, chest pain on breathing, shortness of breath","Pulmonology|Internal Medicine"
4,Heart Failure,"Shortness of breath, leg swelling, fatigue, orthopnea","Cardiology|Internal Medicine"
5,Anxiety Disorder,"Palpitations, chest discomfort, breathlessness, fear episodes","Psychiatry|Internal Medicine"
6,Chronic Obstructive Pulmonary Disease,"Chronic cough, sputum, dyspnea, smoking history","Pulmonology|Internal Medicine"
7,Gastroesophageal Reflux Disease,"Burning chest pain after meals, sour taste, regurgitation","Gastroenterology|Internal Medicine"
8,Pulmonary Embolism,"Sudden shortness of breath, pleuritic chest pain, tachycardia","Emergency|Pulmonology"
9,Myocarditis,"Chest pain, fatigue, shortness of breath after viral illness","Cardiology|Emergency"
10,Pericarditis,"Sharp chest pain better when leaning forward, low fever","Cardiology|Emergency"
11,Lower Limb Injury or Fracture,"Leg pain after fall, swelling, bruising, inability to bear weight, deformity, trauma","Emergency|Internal Medicine"
12,Musculoskeletal Leg Pain,"Localized leg pain, muscle strain, tendon irritation, pain with movement, tenderness","Internal Medicine|Emergency"
13,Acute Neck Strain or Spasm,"Severe neck pain, stiffness, painful movement, muscle spasm, difficulty turning head","Internal Medicine|Emergency"
14,Cervical Radiculopathy,"Neck pain radiating to shoulder or arm, numbness, tingling, weakness, limited mobility","Internal Medicine|Emergency"
15,Influenza (Flu),"Sudden fever with chills, body aches, fatigue, headache, sore throat, dry cough","Internal Medicine|Pulmonology"
16,Acute Viral Syndrome,"Fever, chills, generalized body aches, malaise, headache, sore throat","Internal Medicine|Emergency"
17,Migraine,"Severe one-sided headache, throbbing pain, nausea, sensitivity to light or sound, aura","Internal Medicine|Emergency"
18,Tension-Type Headache,"Bilateral or band-like headache, pressure or tightness, scalp tenderness, mild nausea","Internal Medicine|Internal Medicine"
19,Cluster Headache,"Severe one-sided headache around the eye or temple, tearing, restlessness, nasal congestion","Neurology|Emergency"
20,Urinary Tract Infection (UTI),"Burning sensation when urinating, frequent urge to urinate, small urine amounts, lower abdominal pain, cloudy urine","Internal Medicine|Urology"
21,Asthma,"Difficulty breathing, chest tightness, wheezing, coughing at night or with exercise, shortness of breath","Pulmonology|Emergency"
22,Type 2 Diabetes Mellitus,"Very thirsty, frequent urination, tired easily, slow wound healing, blurry vision, weight loss, weakness","Endocrinology|Internal Medicine"
23,Hypertension (High Blood Pressure),"Dizziness, headaches, head pressure, occasional blurred vision, lightheadedness, often no symptoms","Cardiology|Internal Medicine"
24,Gastroenteritis (Food Poisoning / Stomach Flu),"Diarrhea, vomiting, abdominal cramps, nausea, stomach pain, inability to keep food down","Internal Medicine|Emergency"
25,Common Cold,"Runny nose, sneezing, mild sore throat, nasal congestion, watery eyes, light cough, mild fatigue","Internal Medicine|Pulmonology"
26,Tooth Decay (Dental Caries),"Tooth pain, sensitivity to sweet or cold foods, visible cavities, pain when biting","Dentistry|Internal Medicine"
27,Gum Disease (Gingivitis/Periodontitis),"Bleeding gums, gum swelling, bad breath, gum tenderness, loose teeth in advanced cases","Dentistry|Internal Medicine"
28,Dental Abscess,"Severe throbbing tooth pain, gum or jaw swelling, facial swelling, fever, foul taste, tenderness","Dentistry|Emergency"
29,Tooth Sensitivity,"Sharp tooth pain with cold, hot, sweet, or acidic foods, brief sensitivity episodes","Dentistry|Internal Medicine"
